1,16,0,5,1,0,0,5
7,0,19,15,1,0,0,5
0,5,14,8,1,0,0,5
14,1,0,4,1,0,0,5
10,0,0,3,1,0,0,5
19,5,3,6,1,0,0,5
8,18,0,7,1,0,0,5
6,14,15,2,1,0,0,5
4,15,14,0,1,0,0,5
10,2,11,17,1,0,0,5
2,14,13,4,1,0,0,5
18,16,5,16,1,0,0,5
8,15,11,1,1,0,0,5
8,14,15,6,1,0,0,5
11,6,4,14,1,0,0,5
14,12,17,0,1,0,0,5
11,16,18,10,1,0,0,5
12,14,11,8,1,0,0,5
17,11,19,5,1,0,0,5
12,4,13,8,1,0,0,5
0,5,37,37,1,0,0,1
1,0,37,37,1,0,0,1
37,37,0,5,1,0,0,1
37,37,1,0,1,0,0,1
0,0,37,37,1,0,0,1
37,37,0,0,1,0,0,1
0,4,37,37,1,0,0,1
1,0,36,37,1,0,0,1
37,37,0,4,1,0,0,1
36,37,0,5,1,0,0,1
36,37,1,0,1,0,0,1
0,5,36,37,1,0,0,1
0,4,36,37,1,0,0,1
0,5,35,39,1,0,0,1
1,4,37,37,1,0,0,1
0,5,35,37,1,0,0,1
0,1,37,37,1,0,0,1
35,37,1,0,1,0,0,1
37,37,0,3,1,0,0,1
36,37,0,4,1,0,0,1
1,0,35,37,1,0,0,1
1,0,36,38,1,0,0,1
1,0,35,39,1,0,0,1
35,39,1,0,1,0,0,1
37,37,0,1,1,0,0,1
0,5,36,38,1,0,0,1
35,37,0,5,1,0,0,1
37,37,1,4,1,0,0,1
0,0,36,37,1,0,0,1
36,38,1,0,1,0,0,1
36,37,0,0,1,0,0,1
